Title,Price,Date,Time
GoBass 400,₹299,5/12/2023,18:29:14
GoBass 410,₹259,5/12/2023,18:29:15
GoBass 411,₹349,5/12/2023,18:29:16
GoBass 411,₹349,5/12/2023,18:29:17
GoBass 411,₹349,5/12/2023,18:29:18
GoBass 610,₹399,5/12/2023,18:29:19
GoBass 900,₹549,5/12/2023,18:29:19
GoBass 910,₹399,5/12/2023,18:29:20
GoBold 400,"₹1,199",5/12/2023,18:29:21
GoBold 410,"₹1,099",5/12/2023,18:29:22
GoBold 600,"₹1,299",5/12/2023,18:29:23
GoBold 610,"₹1,399",5/12/2023,18:29:23
GoBuds 400,₹999,5/12/2023,18:29:24
GoBuds 410,"₹1,099",5/12/2023,18:29:25
GoBuds 600,"₹1,299",5/12/2023,18:29:26
GoBuds 621,"₹1,699",5/12/2023,18:29:27
N/A,N/A,5/12/2023,18:29:27
GoBuds 901,"₹1,599",5/12/2023,18:29:28
GoBuds 902,"₹1,999",5/12/2023,18:29:28
GoBuds 920,"₹1,999",5/12/2023,18:29:30
GoCrush 410,₹999,5/12/2023,18:29:30
GoCrush 421,₹999,5/12/2023,18:29:31
GoCrush 900,"₹2,499",5/12/2023,18:29:32
GoKixx 400,₹699,5/12/2023,18:29:33
GoKixx 410,₹699,5/12/2023,18:29:34
GoKixx 421,₹749,5/12/2023,18:29:35
GoKixx 610,₹799,5/12/2023,18:29:36
GoKixx 620,₹899,5/12/2023,18:29:37
GoKixx 621,₹999,5/12/2023,18:29:37
GoKixx 630,₹899,5/12/2023,18:29:38
GoKixx 651,"₹1,199",5/12/2023,18:29:39
GOKIXX 652,"₹1,199",5/12/2023,18:29:40
GoKixx 900,₹999,5/12/2023,18:29:41
GoKixx 952,"₹1,399",5/12/2023,18:29:42
N/A,N/A,5/12/2023,18:29:42
N/A,N/A,5/12/2023,18:29:43
N/A,N/A,5/12/2023,18:29:43
N/A,N/A,5/12/2023,18:29:44
N/A,N/A,5/12/2023,18:29:44
N/A,N/A,5/12/2023,18:29:45
N/A,N/A,5/12/2023,18:29:45
GoKixx 621,₹999,5/12/2023,18:29:46
GoKixx 621,₹999,5/12/2023,18:29:47
